zipCode,CountyName,month,zori
93950,Monterey County,2020-02,2140.91713409188
93906,Monterey County,2020-03,1619.459844378995
95037,Santa Clara County,2020-03,2986.185573322952
95060,Santa Cruz County,2020-03,2536.6561545783716
95050,Santa Clara County,2020-03,2861.346721743534
93940,Monterey County,2020-03,1945.880601510521
95032,Santa Clara County,2020-03,3419.982691790837
90291,Los Angeles County,2020-03,3042.798491186875
93950,Monterey County,2020-03,2140.5319724599353
93906,Monterey County,2020-04,1604.6171030970345
95037,Santa Clara County,2020-04,2997.1872854861263
95060,Santa Cruz County,2020-04,2501.969330086416
95050,Santa Clara County,2020-04,2837.642512018905
93940,Monterey County,2020-04,1935.708573858868
95032,Santa Clara County,2020-04,3405.8499798499465
90291,Los Angeles County,2020-04,3003.8733373659643
93950,Monterey County,2020-04,2164.9120673114803
93906,Monterey County,2020-05,1608.3279231999484
95037,Santa Clara County,2020-05,2962.0996460285673
95060,Santa Cruz County,2020-05,2470.0229674833176
95050,Santa Clara County,2020-05,2830.9825434149006
93940,Monterey County,2020-05,1925.936578331263
95032,Santa Clara County,2020-05,3416.4138743259127
90291,Los Angeles County,2020-05,3012.079896397682
93950,Monterey County,2020-05,2172.494186645348
93906,Monterey County,2020-06,1631.310066981756
95037,Santa Clara County,2020-06,2973.296224438962
95060,Santa Cruz County,2020-06,2485.8182255691677
95050,Santa Clara County,2020-06,2758.1200102943626
93940,Monterey County,2020-06,1928.7794116180148
95032,Santa Clara County,2020-06,3406.943979460996
90291,Los Angeles County,2020-06,3045.9829584831423
93950,Monterey County,2020-06,2164.4246296952674
93906,Monterey County,2020-07,1651.393209449405
95037,Santa Clara County,2020-07,3000.73231247892
95060,Santa Cruz County,2020-07,2472.4160664183382
95050,Santa Clara County,2020-07,2762.226840209871
93940,Monterey County,2020-07,1942.2882040733164
95032,Santa Clara County,2020-07,3328.933751115477
90291,Los Angeles County,2020-07,3110.0129709026833
93950,Monterey County,2020-07,2193.5374579529384
93906,Monterey County,2020-08,1686.732915911168
95037,Santa Clara County,2020-08,3031.655525049889
95060,Santa Cruz County,2020-08,2460.043866711087
95050,Santa Clara County,2020-08,2772.4370512873543
93940,Monterey County,2020-08,1949.768663249493
95032,Santa Clara County,2020-08,3244.955057181912
90291,Los Angeles County,2020-08,3097.2843041622705
93950,Monterey County,2020-08,2211.4939505268426
93906,Monterey County,2020-09,1712.7613911252458
95037,Santa Clara County,2020-09,3002.189974553545
95060,Santa Cruz County,2020-09,2473.9119480331624
95050,Santa Clara County,2020-09,2768.8589004093737
93940,Monterey County,2020-09,1960.872308750376
95032,Santa Clara County,2020-09,3257.5172548378187
90291,Los Angeles County,2020-09,3048.037119404368
93950,Monterey County,2020-09,2263.496473960578
93906,Monterey County,2020-10,1740.6860436223467
95037,Santa Clara County,2020-10,2991.893454663134
95060,Santa Cruz County,2020-10,2488.4401276535436
95050,Santa Clara County,2020-10,2708.957653770099
93940,Monterey County,2020-10,1966.097949305243
95032,Santa Clara County,2020-10,3303.4649603074763
90291,Los Angeles County,2020-10,3023.097354379367
93950,Monterey County,2020-10,2259.365442284413
93906,Monterey County,2020-11,1739.4010121977155
95037,Santa Clara County,2020-11,3000.359305980772
95060,Santa Cruz County,2020-11,2487.1880652965992
95050,Santa Clara County,2020-11,2648.8813191024265
93940,Monterey County,2020-11,1995.8505633389389
95032,Santa Clara County,2020-11,3363.290412615284
90291,Los Angeles County,2020-11,2995.4141712809287
93950,Monterey County,2020-11,2308.470545737705
93906,Monterey County,2020-12,1733.2216513349242
95037,Santa Clara County,2020-12,3015.6538277483332
95060,Santa Cruz County,2020-12,2522.8367149063824
95050,Santa Clara County,2020-12,2604.545839507284
93940,Monterey County,2020-12,2007.717009639136
95032,Santa Clara County,2020-12,3369.358638667459
90291,Los Angeles County,2020-12,3004.7828947072167
93950,Monterey County,2020-12,2282.289945444396
93906,Monterey County,2021-01,1749.6882855580943
95037,Santa Clara County,2021-01,3019.1956511398816
95060,Santa Cruz County,2021-01,2503.719930884469
95050,Santa Clara County,2021-01,2612.0258123613985
93940,Monterey County,2021-01,2003.5826435658823
95032,Santa Clara County,2021-01,3355.585826848035
90291,Los Angeles County,2021-01,3031.0377332341063
93950,Monterey County,2021-01,2301.651961765908
93906,Monterey County,2021-02,1751.3864232964104
95037,Santa Clara County,2021-02,3000.3510185132836
95060,Santa Cruz County,2021-02,2534.6508181561935
95050,Santa Clara County,2021-02,2626.4532395592455
93940,Monterey County,2021-02,1993.9903242317012
95032,Santa Clara County,2021-02,3291.2571329010525
90291,Los Angeles County,2021-02,3046.237236645955
93950,Monterey County,2021-02,2270.4980309749067
93906,Monterey County,2021-03,1775.082369632447
95037,Santa Clara County,2021-03,3003.490146866634
95060,Santa Cruz County,2021-03,2517.8838053940685
95050,Santa Clara County,2021-03,2637.2078639235187
93940,Monterey County,2021-03,1981.7311748718369
95032,Santa Clara County,2021-03,3261.191576069577
90291,Los Angeles County,2021-03,3056.1705721924695
93950,Monterey County,2021-03,2327.7708758960457
93906,Monterey County,2021-04,1785.6443416528862
95037,Santa Clara County,2021-04,3042.2303316027305
95060,Santa Cruz County,2021-04,2578.74556593321
95050,Santa Clara County,2021-04,2664.293298280711
93940,Monterey County,2021-04,1996.4547982447173
95032,Santa Clara County,2021-04,3278.5751948149164
90291,Los Angeles County,2021-04,3055.0983402549614
93950,Monterey County,2021-04,2323.0141198588867
93906,Monterey County,2021-05,1825.802787943053
