GEOID,tract_median_hh_income,tract_median_gross_rent,tract_pct_renter,tract_pop_density_sqmi,tract_population
06085503122,46371.0,986.0,0.7009724473257699,2376.978177412602,3345.0
06085503123,65525.0,2064.0,0.691131498470948,14553.683559490033,3872.0
06085503124,124229.0,1983.0,0.7029530978575564,10005.308316476776,6075.0
06085503125,160833.0,3482.0,0.5937921727395412,14237.123718530707,4082.0
06085503126,178929.0,3501.0,0.3995568685376662,6644.437800925341,3964.0
06085503127,191908.0,3470.0,0.20497165285651983,4690.210301221059,5300.0
06085503207,145278.0,3263.0,0.1734475374732334,6918.681416325581,3446.0
06085503208,163558.0,3501.0,0.25105782792665726,7449.3765923567735,3182.0
06085503210,120729.0,2039.0,0.31784582893347413,6600.21946049605,4067.0
06085503211,104677.0,3501.0,0.18305084745762712,11375.075850564455,4651.0
06085503212,128750.0,3501.0,0.2334975369458128,6548.740457077418,4226.0
06085503213,72174.0,2219.0,0.4797191887675507,11590.168759118244,4920.0
06085503217,81786.0,2726.0,0.36058700209643607,15787.703958262377,3669.0
06085503218,53036.0,1575.0,0.687866927592955,18539.859511723018,4227.0
06085503219,60451.0,2041.0,0.5149625935162094,14646.875796859282,2738.0
06085503220,96705.0,1575.0,0.2907231555880205,12789.748338609043,4691.0
06085503221,49323.0,1125.0,0.5751552795031056,5973.0488205262845,2433.0
06085503222,122526.0,1780.0,0.325895875591616,18735.4254473061,5434.0
06085503304,101039.0,2172.0,0.4267806267806268,11431.835918453227,6566.0
06085503305,103000.0,2958.0,0.36774628879892035,6545.546059762522,5874.0
06085503306,119091.0,3000.0,0.17396593673965938,5982.752226730456,3852.0
06085503312,176607.0,2932.0,0.21656050955414013,610.2440762181724,3550.0
06085503313,250001.0,,0.08267716535433071,7174.625247665556,4449.0
06085503315,152083.0,3232.0,0.40625,12299.357676240777,7822.0
06085503321,152238.0,3501.0,0.06887052341597796,6425.9962379395365,4351.0
06085503322,151250.0,2716.0,0.27296819787985865,8082.490898857417,4506.0
06085503323,169484.0,,0.12301587301587301,8715.953000486807,3809.0
06085503324,170399.0,2474.0,0.1744312026002167,10426.018298525309,3333.0
06085503325,145991.0,2120.0,0.25663716814159293,10187.846541129222,4478.0
06085503326,235673.0,3501.0,0.18388977212506624,4151.737533056927,6829.0
06085503327,172381.0,3501.0,0.22892441860465115,7973.443589338754,4434.0
06085503329,217369.0,3501.0,0.1495601173020528,7328.883046331787,3294.0
06085503330,250001.0,3501.0,0.10290371879775853,952.4318673897947,6550.0
06085503331,126324.0,2636.0,0.13800578034682082,6601.979192428601,3481.0
06085503332,132969.0,3501.0,0.10996807378503015,1945.7999653306485,5897.0
06085503333,213003.0,3501.0,0.1696881798404641,5707.961406540411,4590.0
06085503336,190000.0,3264.0,0.19135802469135801,8183.618951110041,2861.0
06085503337,159904.0,2693.0,0.15195632393084624,14908.114062307433,4409.0
